tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
35410,PER,RUS,2010,,6,,2011,N/A,Mi-8MT/Mi-17,AC,Transport helicopter,L,6,,2011,Peru,Russia,N,6.75,40.5,40.5
57001,PER,RUS,2013,,24,,2016,ASS,Mi-8MT/Mi-17,AC,Transport helicopter,L,24,X,2014-2016,Peru,Russia,N,6.75,162,162
27148,PER,RUS,1998,,3,,1999,N/A,MiG-29S,AC,FGA aircraft,L,3,X,1999,Peru,Russia,N,28.5,85.5,85.5
37071,PER,RUS,1998,,40,X,1999,N/A,R-73/AA-11,MI,SRAAM,L,40,X,1999,Peru,Russia,N,0.15,6,6
30318,PER,RUS,1998,,12,X,1999,N/A,RVV-AE/AA-12 Adder,MI,BVRAAM,L,12,X,1998-1999,Peru,Russia,N,0.4,4.8,4.8
61526,QAT,RUS,2017,,200,X,0,N/A,Igla-S/SA-24,MI,Portable SAM,L,100,X,2017-2018,Qatar,Russia,N,0.08,16,8
52809,VEN,RUS,2010,X,24,,2012,N/A,2B11 120mm,AR,Mortar,L,24,X,2011-2012,Venezuela,Russia,N,0.05,1.2,1.2
52784,VEN,RUS,2009,,48,X,2013,N/A,2S19 MSTA-S 152mm,AR,Self-propelled gun,L,48,X,2011-2013,Venezuela,Russia,N,1.75,84,84
52808,VEN,RUS,2009,,13,X,2011,N/A,2S23 Nona-SVK,AR,Self-propelled mortar,L,13,X,2011,Venezuela,Russia,N,0.9,11.7,11.7
53493,VEN,RUS,2009,X,1000,X,2013,N/A,9M117 Bastion/AT-10,MI,Anti-tank missile,L,1000,X,2011-2013,Venezuela,Russia,N,0.02,20,20
53730,VEN,RUS,2009,X,300,X,2013,N/A,9M317/SA-17 Grizzly,MI,SAM,L,300,X,2013,Venezuela,Russia,N,0.25,75,75
57859,VEN,RUS,2009,,40,X,2013,N/A,9M82M/SA-23A,MI,SAM,L,40,X,2013,Venezuela,Russia,N,1.5,60,60
31399,VEN,RUS,2009,,150,X,2013,N/A,9M83M/SA-23B,MI,SAM,L,150,X,2013,Venezuela,Russia,N,0.9,135,135
